"[lake] coleridge, mossburn swamp",-43.221407,171.479663,"[{'place_name': 'mossburn', 'feature_type': 'Locality'}]",mossburn,Locality,0.0,0.0
[lake] waikaremoana,-38.766111,177.083056,"[{'place_name': 'waikaremoana', 'feature_type': 'Locality'}]",waikaremoana,Locality,0.0,0.0
"[levin], ohau river, ohau track",-40.67013,175.378639,"[{'place_name': 'levin', 'feature_type': 'Town'}]",levin,Town,0.0,0.0
[lincoln] glasshouse,-43.639576,172.477981,"[{'place_name': 'lincoln', 'feature_type': 'Town'}]",lincoln,Town,0.0,0.0
"[lower avon river, near bower hotel, christchurch]",-43.5066,172.709,"[{'place_name': 'avon river', 'feature_type': 'Stream'}]",christchurch,City,0.0,0.0
"[marlborough], waiau, mount terako",-42.557294,172.999939,"[{'place_name': 'marlborough', 'feature_type': 'Suburb'}, {'place_name': 'waiau', 'feature_type': 'Locality'}]",mount terako,Hill,0.0,0.0
"[mid] canterbury, mount hutt",-43.529194,171.613018,"[{'place_name': 'mount hutt', 'feature_type': 'Locality'}]",mount hutt,Locality,0.0,0.0
"[motukarara, department of conservation nursery]",-43.727618,172.583561,"[{'place_name': 'motukarara', 'feature_type': 'Locality'}]",motukarara,Locality,0.0,0.0
"[mount aspiring national park] young range, makarora valley",-44.133134,169.425457,"[{'place_name': 'mount aspiring national park', 'feature_type': 'National Park'}, {'place_name': 'young range', 'feature_type': 'Range'}]",makarora,Locality,0.0,0.0
"[mount aspiring national park], upper dart valley",-44.528707,168.421922,"[{'place_name': 'mount aspiring national park', 'feature_type': 'National Park'}]",mount aspiring national park,National Park,0.0,0.0
"[mount cook national park], black birch stream",-43.743,170.092,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}]",black birch stream,Stream,0.0,0.0
"[mount cook national park], black birch stream - on bluff",-43.743,170.092,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}, {'place_name': 'black birch stream', 'feature_type': 'Stream'}]",bluff,Town,0.0,0.0
"[mount cook national park], governor's bush",-43.739,170.089,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}]",mount cook national park,National Park,0.0,0.0
"[mount cook national park], governor's bush, sealy range",-43.738,170.094,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}]",sealy range,Range,0.0,0.0
"[mount cook national park], murchison river",-43.617885,170.298495,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}]",murchison river,Stream,0.0,0.0
"[mount cook national park], near kea point",-43.706,170.076,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}]",kea point,Point,0.0,0.0
"[mount cook national park], near kea point",-43.703595,170.075352,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}]",kea point,Point,0.0,0.0
"[mount cook national park], wakefield track",-43.702,170.15,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}]",wakefield,Locality,0.0,0.0
"[mount] egmont, stony river",-39.311512,173.927176,"[{'place_name': 'stony river', 'feature_type': 'Stream'}]",stony river,Stream,0.0,0.0
[mount] titiraupenga,-38.5,175.683056,"[{'place_name': 'titiraupenga', 'feature_type': 'Hill'}]",titiraupenga,Hill,0.0,0.0
"[mt wellington near auckland, nz.]",-36.89398,174.835765,"[{'place_name': 'wellington', 'feature_type': 'City'}]",auckland,Local Authority,0.0,0.0
"[mt wellington, near auckland]",-36.89398,174.835765,"[{'place_name': 'wellington', 'feature_type': 'City'}]",auckland,City,0.0,0.0
"[mt. arthur], nelson",-41.218,172.682,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,0.0,0.0
"[mt. duppa], nelson.",-41.219,173.498,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,0.0,0.0
"[n. branch] wangapeka river, nelson.",-41.41403,172.43521,"[{'place_name': 'wangapeka river', 'feature_type': 'Stream'}]",nelson,City,0.0,0.0
"[n. canty., rakaia huts]",-43.8857,172.239,"[{'place_name': 'rakaia huts', 'feature_type': 'Locality'}]",rakaia huts,Locality,0.0,0.0
"[near hawdon shelter, arthur's pass national park]",-42.98823,171.750137,"[{'place_name': ""arthur's pass national park"", 'feature_type': 'National Park'}]",arthur's pass national park,National Park,0.0,0.0
"[near kaikohe], omahuta forest",-35.163,173.637,"[{'place_name': 'kaikohe', 'feature_type': 'Town'}]",omahuta forest,Conservation Park,0.0,0.0
"[near linkwood, white rock road]",-41.395839,175.50326,"[{'place_name': 'white rock', 'feature_type': 'Island'}]",white rock,Island,0.0,0.0
[near south branch temple stream],-44.111804,169.742503,"[{'place_name': 'temple stream', 'feature_type': 'Stream'}]",temple stream,Stream,0.0,0.0
[near waiouru],-39.41379,175.69547,"[{'place_name': 'waiouru', 'feature_type': 'Town'}]",waiouru,Town,0.0,0.0
"[near wilsons lead road turnoff, cape foulwind area]",-41.763667,171.472808,"[{'place_name': 'cape foulwind', 'feature_type': 'Point'}]",cape foulwind,Point,0.0,0.0
"[nelson lakes national park], lake rotoiti, nelson",-41.808,172.838,"[{'place_name': 'nelson lakes national park', 'feature_type': 'National Park'}, {'place_name': 'lake rotoiti', 'feature_type': 'Locality'}]",nelson,City,0.0,0.0
"[nelson lakes national park], lake rotoiti, nelson",-41.82,172.851,"[{'place_name': 'nelson lakes national park', 'feature_type': 'National Park'}, {'place_name': 'lake rotoiti', 'feature_type': 'Locality'}]",nelson,City,0.0,0.0
